starttime,detector_id,speed
2018-05-05 00:10:00-07,100901,60.49
2018-05-05 00:10:00-07,100902,64.37
2018-05-05 00:10:00-07,100903,55.7
2018-05-05 00:10:00-07,101137,55.51
2018-05-05 00:10:00-07,101138,57.32
2018-05-05 00:10:00-07,101139,60.43
2018-05-05 00:10:00-07,101140,56.71
2018-05-05 00:10:00-07,101141,58.67
2018-05-05 00:10:00-07,101142,63.35
2018-05-05 00:10:00-07,101143,57.15
2018-05-05 00:10:00-07,101144,59.48
2018-05-05 00:10:00-07,101145,62.67
2018-05-05 00:10:00-07,101150,59.64
2018-05-05 00:10:00-07,101151,62.56
2018-05-05 00:10:00-07,101152,69.15
2018-05-05 00:10:00-07,101153,61.8
2018-05-05 00:10:00-07,101154,63.37
2018-05-05 00:10:00-07,101155,68.57
2018-05-05 00:10:00-07,101156,58.89
2018-05-05 00:10:00-07,101157,59.63
2018-05-05 00:10:00-07,101158,62.55
2018-05-05 00:10:00-07,101160,68.35
2018-05-05 00:10:00-07,101161,67.5
2018-05-05 00:10:00-07,101162,54.86
2018-05-05 00:10:00-07,101163,61.33
2018-05-05 00:10:00-07,101164,66.67
2018-05-05 00:10:00-07,101165,61.31
2018-05-05 00:10:00-07,101166,61.81
2018-05-05 00:10:00-07,101167,67.17
2018-05-05 00:10:00-07,101168,64.17
2018-05-05 00:10:00-07,101169,63.53
2018-05-05 00:10:00-07,101170,72.43
2018-05-05 00:10:00-07,101171,60.62
2018-05-05 00:10:00-07,101172,62.44
2018-05-05 00:10:00-07,101173,68.06
2018-05-05 00:10:00-07,101174,64.4
2018-05-05 00:10:00-07,101175,63.64
2018-05-05 00:10:00-07,101176,72.08
2018-05-05 00:10:00-07,101177,60
2018-05-05 00:10:00-07,101178,66.48
2018-05-05 00:10:00-07,101179,91.33
2018-05-05 00:10:00-07,101180,66
2018-05-05 00:10:00-07,101181,64.18
2018-05-05 00:10:00-07,101182,68.29
2018-05-05 00:10:00-07,101183,65.44
2018-05-05 00:10:00-07,101184,65.61
2018-05-05 00:10:00-07,101185,75
2018-05-05 00:10:00-07,101186,62
2018-05-05 00:10:00-07,101187,62.33
2018-05-05 00:15:00-07,100891,57.21
2018-05-05 00:15:00-07,100892,61.35
2018-05-05 00:15:00-07,100893,59.59
2018-05-05 00:15:00-07,100894,53.11
2018-05-05 00:15:00-07,100895,44.71
2018-05-05 00:15:00-07,100897,56.9
2018-05-05 00:15:00-07,100898,55.33
2018-05-05 00:15:00-07,100899,61.56
2018-05-05 00:15:00-07,100900,61.78
2018-05-05 00:15:00-07,100901,60.47
2018-05-05 00:15:00-07,100902,63.91
2018-05-05 00:15:00-07,100903,55.75
2018-05-05 00:15:00-07,101137,56.07
2018-05-05 00:15:00-07,101138,54.96
2018-05-05 00:15:00-07,101139,58
2018-05-05 00:15:00-07,101140,55.5
2018-05-05 00:15:00-07,101141,58.14
2018-05-05 00:15:00-07,101142,61.92
2018-05-05 00:15:00-07,101143,58.29
2018-05-05 00:15:00-07,101144,58.56
2018-05-05 00:15:00-07,101145,63.14
2018-05-05 00:15:00-07,101150,59.87
2018-05-05 00:15:00-07,101151,61.06
2018-05-05 00:15:00-07,101152,65.08
2018-05-05 00:15:00-07,101153,62.75
2018-05-05 00:15:00-07,101154,63.83
2018-05-05 00:15:00-07,101155,66.94
2018-05-05 00:15:00-07,101156,58.13
2018-05-05 00:15:00-07,101157,60.26
2018-05-05 00:15:00-07,101158,64.45
2018-05-05 00:15:00-07,101160,64.71
2018-05-05 00:15:00-07,101161,65.29
2018-05-05 00:15:00-07,101162,
2018-05-05 00:15:00-07,101163,60.67
2018-05-05 00:15:00-07,101164,60.25
2018-05-05 00:15:00-07,101165,60
2018-05-05 00:15:00-07,101166,59.93
2018-05-05 00:15:00-07,101167,67.86
2018-05-05 00:15:00-07,101168,61
2018-05-05 00:15:00-07,101169,65.95
2018-05-05 00:15:00-07,101170,69
2018-05-05 00:15:00-07,101171,63.5
2018-05-05 00:15:00-07,101172,65.13
2018-05-05 00:15:00-07,101173,65.89
2018-05-05 00:15:00-07,101174,58.4
2018-05-05 00:15:00-07,101175,62.36
2018-05-05 00:15:00-07,101176,81
2018-05-05 00:15:00-07,101177,61.67
2018-05-05 00:15:00-07,101178,70
2018-05-05 00:15:00-07,101179,71
2018-05-05 00:15:00-07,101180,63
2018-05-05 00:15:00-07,101181,67.5
2018-05-05 00:15:00-07,101182,70
2018-05-05 00:15:00-07,101183,78
2018-05-05 00:15:00-07,101184,70.67
2018-05-05 00:15:00-07,101185,84
2018-05-05 00:15:00-07,101186,
2018-05-05 00:15:00-07,101187,
2018-05-05 00:20:00-07,100891,56.78
2018-05-05 00:20:00-07,100892,66.17
2018-05-05 00:20:00-07,100893,65.36
2018-05-05 00:20:00-07,100894,74.12
2018-05-05 00:20:00-07,100895,46.79
2018-05-05 00:20:00-07,100897,49.33
2018-05-05 00:20:00-07,100898,57.71
2018-05-05 00:20:00-07,100899,62.59
2018-05-05 00:20:00-07,100900,63.94
2018-05-05 00:20:00-07,100901,60.7
2018-05-05 00:20:00-07,100902,64.53
2018-05-05 00:20:00-07,100903,53.44
2018-05-05 00:20:00-07,101137,53.78
2018-05-05 00:20:00-07,101138,57.79
2018-05-05 00:20:00-07,101139,59.94
2018-05-05 00:20:00-07,101140,57.65
2018-05-05 00:20:00-07,101141,59.52
2018-05-05 00:20:00-07,101142,63.33
2018-05-05 00:20:00-07,101143,60.7
2018-05-05 00:20:00-07,101144,60.25
2018-05-05 00:20:00-07,101145,64.31
2018-05-05 00:20:00-07,101150,59.45
2018-05-05 00:20:00-07,101151,60.17
2018-05-05 00:20:00-07,101152,64.27
2018-05-05 00:20:00-07,101153,62.05
2018-05-05 00:20:00-07,101154,61.52
2018-05-05 00:20:00-07,101155,64.58
2018-05-05 00:20:00-07,101156,60.06
2018-05-05 00:20:00-07,101157,61.9
2018-05-05 00:20:00-07,101158,62.82
2018-05-05 00:20:00-07,101160,68.23
2018-05-05 00:20:00-07,101161,66.25
2018-05-05 00:20:00-07,101162,56
2018-05-05 00:20:00-07,101163,57.86
2018-05-05 00:20:00-07,101164,64.13
2018-05-05 00:20:00-07,101165,67.2
2018-05-05 00:20:00-07,101166,61.3
2018-05-05 00:20:00-07,101167,66.29
2018-05-05 00:20:00-07,101168,64.63
2018-05-05 00:20:00-07,101169,69.77
2018-05-05 00:20:00-07,101170,77.83
2018-05-05 00:20:00-07,101171,60.8
2018-05-05 00:20:00-07,101172,65.25
2018-05-05 00:20:00-07,101173,80.43
2018-05-05 00:20:00-07,101174,65
2018-05-05 00:20:00-07,101175,69.43
2018-05-05 00:20:00-07,101176,77.83
2018-05-05 00:20:00-07,101177,66.67
2018-05-05 00:20:00-07,101178,73
2018-05-05 00:20:00-07,101179,71
2018-05-05 00:20:00-07,101180,64.8
2018-05-05 00:20:00-07,101181,62.27
2018-05-05 00:20:00-07,101182,66.8
2018-05-05 00:20:00-07,101183,
2018-05-05 00:20:00-07,101184,67.86
2018-05-05 00:20:00-07,101185,71
2018-05-05 00:20:00-07,101186,62.5
2018-05-05 00:20:00-07,101187,71
2018-05-05 00:25:00-07,100891,57.91
2018-05-05 00:25:00-07,100892,67.12
2018-05-05 00:25:00-07,100893,62.57
2018-05-05 00:25:00-07,100894,46.87
2018-05-05 00:25:00-07,100895,47.61
2018-05-05 00:25:00-07,100897,52.86
2018-05-05 00:25:00-07,100898,59.19
2018-05-05 00:25:00-07,100899,65.13
2018-05-05 00:25:00-07,100900,65.18
2018-05-05 00:25:00-07,100901,62.09
2018-05-05 00:25:00-07,100902,64.14
2018-05-05 00:25:00-07,100903,46.14
2018-05-05 00:25:00-07,101137,55.09
2018-05-05 00:25:00-07,101138,57.31
2018-05-05 00:25:00-07,101139,61.02
2018-05-05 00:25:00-07,101140,58.29
2018-05-05 00:25:00-07,101141,61.08
2018-05-05 00:25:00-07,101142,66.55
2018-05-05 00:25:00-07,101143,62.15
2018-05-05 00:25:00-07,101144,60.39
2018-05-05 00:25:00-07,101145,62.8
2018-05-05 00:25:00-07,101150,62.57
2018-05-05 00:25:00-07,101151,61.81
2018-05-05 00:25:00-07,101152,67.72
2018-05-05 00:25:00-07,101153,63
2018-05-05 00:25:00-07,101154,63.15
2018-05-05 00:25:00-07,101155,69.21
2018-05-05 00:25:00-07,101156,64.1
2018-05-05 00:25:00-07,101157,62.55
2018-05-05 00:25:00-07,101158,65
2018-05-05 00:25:00-07,101160,65.5
2018-05-05 00:25:00-07,101161,
2018-05-05 00:25:00-07,101162,60.25
2018-05-05 00:25:00-07,101163,57.43
2018-05-05 00:25:00-07,101164,65
2018-05-05 00:25:00-07,101165,61.27
2018-05-05 00:25:00-07,101166,61.21
2018-05-05 00:25:00-07,101167,62.85
2018-05-05 00:25:00-07,101168,64.55
2018-05-05 00:25:00-07,101169,67.14
2018-05-05 00:25:00-07,101170,71.5
2018-05-05 00:25:00-07,101171,59.2
2018-05-05 00:25:00-07,101172,62.67
2018-05-05 00:25:00-07,101173,65.5
2018-05-05 00:25:00-07,101174,63.2
2018-05-05 00:25:00-07,101175,62.82
2018-05-05 00:25:00-07,101176,67.8
2018-05-05 00:25:00-07,101177,66.45
2018-05-05 00:25:00-07,101178,64.33
2018-05-05 00:25:00-07,101179,60
2018-05-05 00:25:00-07,101180,63.25
2018-05-05 00:25:00-07,101181,65.26
2018-05-05 00:25:00-07,101182,63.75
2018-05-05 00:25:00-07,101183,67.6
2018-05-05 00:25:00-07,101184,64.31
2018-05-05 00:25:00-07,101185,65.5
2018-05-05 00:25:00-07,101186,60
2018-05-05 00:25:00-07,101187,66.71
2018-05-05 00:30:00-07,100891,59.75
2018-05-05 00:30:00-07,100892,61.76
2018-05-05 00:30:00-07,100893,57.1
2018-05-05 00:30:00-07,100895,46.39
2018-05-05 00:30:00-07,100897,49.87
2018-05-05 00:30:00-07,100898,60.05
2018-05-05 00:30:00-07,100899,65.85
2018-05-05 00:30:00-07,100900,66.63
2018-05-05 00:30:00-07,100901,59.9
2018-05-05 00:30:00-07,100902,57.56
2018-05-05 00:30:00-07,100903,55.3
2018-05-05 00:30:00-07,101137,59.6
