Actual Clear Date Time,Beginning Latitude,Beginning Longitude,Closure Duration,Closure Involved Flag,Command Area District Identifier,Create Date Time,Direction,Ending Latitude,Ending Longitude,Event Duration,Event From Mile Point Number,Event Identifier,Event Planned Flag,Event Sub Type Name,Event To Milepoint Number,Highway Name,Is Re Opened Flag,LRM End Point,LRM,Last Close Date Time,Number of Records,Original Close Date Time,Planned Event End Date,Planned Event Start Date,Recovery Begin Time,Road Identifier,Roadway Clearance Duration,Route Number,Travel Lanes Affected Count,Weekday
8/6/2017 4:55:36 PM,45.57935,-122.11921,,False,2C,8/6/2017 4:47:02 PM,WB,,,514,31.3,17T073695,False,ITS Device Failure,,COLUMBIA RIVER,False,,00200D00,8/6/2017 4:55:36 PM,1,8/6/2017 4:55:36 PM,,,,2,,I-84,,Sunday
8/6/2017 1:15:35 PM,45.57935,-122.11921,,False,2C,8/6/2017 12:47:03 PM,WB,,,1712,31.3,17T073624,False,ITS Device Failure,,COLUMBIA RIVER,False,,00200D00,8/6/2017 1:15:35 PM,1,8/6/2017 1:15:35 PM,,,,2,,I-84,,Sunday
7/30/2017 12:03:09 PM,45.57935,-122.11921,,False,2C,7/30/2017 12:02:04 PM,WB,,,65,31.3,17T071081,False,ITS Device Failure,,COLUMBIA RIVER,False,,00200D00,7/30/2017 12:03:09 PM,1,7/30/2017 12:03:09 PM,,,,2,,I-84,,Sunday
7/2/2017 4:52:43 PM,45.57935,-122.11921,,False,2C,7/2/2017 4:47:11 PM,WB,,,332,31.3,17T061881,False,ITS Device Failure,,COLUMBIA RIVER,False,,00200D00,7/2/2017 4:52:43 PM,1,7/2/2017 4:52:43 PM,,,,2,,I-84,,Sunday
7/2/2017 2:34:21 PM,45.57935,-122.11921,,False,2C,7/2/2017 1:44:12 PM,WB,,,3009,31.3,17T061840,False,ITS Device Failure,,COLUMBIA RIVER,False,,00200D00,7/2/2017 2:34:21 PM,1,7/2/2017 2:34:21 PM,,,,2,,I-84,,Sunday
6/11/2017 3:11:38 PM,45.57935,-122.11921,,False,2C,6/11/2017 2:53:11 PM,WB,,,1107,31.3,17T055250,False,ITS Device Failure,,COLUMBIA RIVER,False,,00200D00,6/11/2017 3:11:38 PM,1,6/11/2017 3:11:38 PM,,,,2,,I-84,,Sunday
6/11/2017 1:47:39 PM,45.57935,-122.11921,,False,2C,6/11/2017 1:46:11 PM,WB,,,88,31.3,17T055237,False,ITS Device Failure,,COLUMBIA RIVER,False,,00200D00,6/11/2017 1:47:39 PM,1,6/11/2017 1:47:39 PM,,,,2,,I-84,,Sunday
5/28/2017 12:28:19 PM,45.57935,-122.11921,,False,2C,5/28/2017 12:25:11 PM,WB,,,188,31.3,17T051211,False,ITS Device Failure,,COLUMBIA RIVER,False,,00200D00,5/28/2017 12:28:19 PM,1,5/28/2017 12:28:19 PM,,,,2,,I-84,,Sunday
5/28/2017 11:01:56 AM,45.57935,-122.11921,,False,2C,5/28/2017 11:01:11 AM,WB,,,45,31.3,17T051186,False,ITS Device Failure,,COLUMBIA RIVER,False,,00200D00,5/28/2017 11:01:56 AM,1,5/28/2017 11:01:56 AM,,,,2,,I-84,,Sunday
5/14/2017 1:22:26 PM,45.57935,-122.11921,,False,2C,5/14/2017 1:16:49 PM,WB,,,337,31.3,17T046989,False,ITS Device Failure,,COLUMBIA RIVER,False,,00200D00,5/14/2017 1:22:26 PM,1,5/14/2017 1:22:26 PM,,,,2,,I-84,,Sunday
5/7/2017 2:56:45 PM,45.57935,-122.11921,,False,2C,5/7/2017 2:54:49 PM,WB,,,116,31.3,17T045072,False,ITS Device Failure,,COLUMBIA RIVER,False,,00200D00,5/7/2017 2:56:45 PM,1,5/7/2017 2:56:45 PM,,,,2,,I-84,,Sunday
4/30/2017 11:27:33 AM,45.57935,-122.11921,,False,2C,4/30/2017 11:26:49 AM,WB,,,44,31.3,17T043049,False,ITS Device Failure,,COLUMBIA RIVER,False,,00200D00,4/30/2017 11:27:33 AM,1,4/30/2017 11:27:33 AM,,,,2,,I-84,,Sunday
4/16/2017 12:23:53 PM,45.57935,-122.11921,,False,2C,4/16/2017 12:23:18 PM,WB,,,35,31.3,17T039530,False,ITS Device Failure,,COLUMBIA RIVER,False,,00200D00,4/16/2017 12:23:53 PM,1,4/16/2017 12:23:53 PM,,,,2,,I-84,,Sunday
4/16/2017 11:54:57 AM,45.57935,-122.11921,,False,2C,4/16/2017 11:54:19 AM,WB,,,38,31.3,17T039525,False,ITS Device Failure,,COLUMBIA RIVER,False,,00200D00,4/16/2017 11:54:57 AM,1,4/16/2017 11:54:57 AM,,,,2,,I-84,,Sunday
4/9/2017 3:29:12 PM,45.57935,-122.11921,,False,2C,4/9/2017 3:22:18 PM,WB,,,414,31.3,17T037714,False,ITS Device Failure,,COLUMBIA RIVER,False,,00200D00,4/9/2017 3:29:12 PM,1,4/9/2017 3:29:12 PM,,,,2,,I-84,,Sunday
4/9/2017 2:55:07 PM,45.57935,-122.11921,,False,2C,4/9/2017 2:37:18 PM,WB,,,1070,31.3,17T037697,False,ITS Device Failure,,COLUMBIA RIVER,False,,00200D00,4/9/2017 2:55:08 PM,1,4/9/2017 2:55:08 PM,,,,2,,I-84,,Sunday
4/9/2017 2:18:52 PM,45.57935,-122.11921,,False,2C,4/9/2017 2:18:19 PM,WB,,,33,31.3,17T037690,False,ITS Device Failure,,COLUMBIA RIVER,False,,00200D00,4/9/2017 2:18:52 PM,1,4/9/2017 2:18:52 PM,,,,2,,I-84,,Sunday
4/9/2017 1:58:33 PM,45.57935,-122.11921,,False,2C,4/9/2017 1:52:19 PM,WB,,,375,31.3,17T037683,False,ITS Device Failure,,COLUMBIA RIVER,False,,00200D00,4/9/2017 1:58:34 PM,1,4/9/2017 1:58:34 PM,,,,2,,I-84,,Sunday
4/9/2017 11:01:15 AM,45.57935,-122.11921,,False,2C,4/9/2017 11:00:18 AM,WB,,,58,31.3,17T037646,False,ITS Device Failure,,COLUMBIA RIVER,False,,00200D00,4/9/2017 11:01:16 AM,1,4/9/2017 11:01:16 AM,,,,2,,I-84,,Sunday
4/9/2017 10:25:04 AM,45.57935,-122.11921,,False,2C,4/9/2017 10:23:19 AM,WB,,,105,31.3,17T037638,False,ITS Device Failure,,COLUMBIA RIVER,False,,00200D00,4/9/2017 10:25:04 AM,1,4/9/2017 10:25:04 AM,,,,2,,I-84,,Sunday
4/2/2017 3:26:42 PM,45.57935,-122.11921,,False,2C,4/2/2017 3:24:19 PM,WB,,,143,31.3,17T035349,False,ITS Device Failure,,COLUMBIA RIVER,False,,00200D00,4/2/2017 3:26:42 PM,1,4/2/2017 3:26:42 PM,,,,2,,I-84,,Sunday
4/2/2017 2:45:31 PM,45.57935,-122.11921,,False,2C,4/2/2017 2:39:19 PM,WB,,,372,31.3,17T035340,False,ITS Device Failure,,COLUMBIA RIVER,False,,00200D00,4/2/2017 2:45:31 PM,1,4/2/2017 2:45:31 PM,,,,2,,I-84,,Sunday
3/19/2017 10:57:08 AM,45.57935,-122.11921,,False,2C,3/19/2017 10:00:13 AM,WB,,,3415,31.3,17T031281,False,ITS Device Failure,,COLUMBIA RIVER,False,,00200D00,3/19/2017 10:57:08 AM,1,3/19/2017 10:57:08 AM,,,,2,,I-84,,Sunday
3/12/2017 5:02:37 PM,45.57935,-122.11921,,False,2C,3/12/2017 5:02:12 PM,WB,,,25,31.3,17T029281,False,ITS Device Failure,,COLUMBIA RIVER,False,,00200D00,3/12/2017 5:02:37 PM,1,3/12/2017 5:02:37 PM,,,,2,,I-84,,Sunday
12/30/2017 2:25:07 PM,45.57935,-122.11921,,False,2C,12/30/2017 2:12:53 PM,WB,,,734,31.3,17T121725,False,ITS Device Failure,,COLUMBIA RIVER,False,,00200D00,12/30/2017 2:25:07 PM,1,12/30/2017 2:25:07 PM,,,,2,,I-84,,Saturday
8/19/2017 6:15:26 PM,45.57935,-122.11921,,False,2C,8/19/2017 5:49:03 PM,WB,,,1583,31.3,17T078281,False,ITS Device Failure,,COLUMBIA RIVER,False,,00200D00,8/19/2017 6:15:26 PM,1,8/19/2017 6:15:26 PM,,,,2,,I-84,,Saturday
8/19/2017 5:52:28 PM,45.57935,-122.11921,,False,2C,8/19/2017 5:44:03 PM,WB,,,505,31.3,17T078276,False,ITS Device Failure,,COLUMBIA RIVER,False,,00200D00,8/19/2017 5:52:28 PM,1,8/19/2017 5:52:28 PM,,,,2,,I-84,,Saturday
8/19/2017 1:09:51 PM,45.57935,-122.11921,,False,2C,8/19/2017 1:09:03 PM,WB,,,48,31.3,17T078154,False,ITS Device Failure,,COLUMBIA RIVER,False,,00200D00,8/19/2017 1:09:51 PM,1,8/19/2017 1:09:51 PM,,,,2,,I-84,,Saturday
7/1/2017 4:38:57 PM,45.57935,-122.11921,,False,2C,7/1/2017 4:38:13 PM,WB,,,44,31.3,17T061661,False,ITS Device Failure,,COLUMBIA RIVER,False,,00200D00,7/1/2017 4:38:57 PM,1,7/1/2017 4:38:57 PM,,,,2,,I-84,,Saturday
