starttime,resolution,detector_id,speed,volume,occupancy,countreadings,delay,traveltime,vht,vmt
2018-05-12T00:00:00-07:00,00:05:00,101187,63.33,3,0.27,11,-0.05,0.93,0.05,2.94
2018-05-12T00:00:00-07:00,00:05:00,101186,61.55,11,2.0,11,-0.02,0.96,0.18,10.78
2018-05-12T00:00:00-07:00,00:05:00,101185,72.17,6,0.27,11,-0.15,0.72,0.07,5.19
2018-05-12T00:00:00-07:00,00:05:00,101184,66.13,15,2.82,11,-0.08,0.78,0.2,12.98
2018-05-12T00:00:00-07:00,00:05:00,101183,66.0,6,1.73,11,-0.08,0.79,0.08,5.19
2018-05-12T00:00:00-07:00,00:05:00,101182,70.29,7,0.64,11,-0.11,0.64,0.08,5.29
2018-05-12T00:00:00-07:00,00:05:00,101181,63.38,8,1.55,11,-0.04,0.71,0.1,6.04
2018-05-12T00:00:00-07:00,00:05:00,101180,66.93,14,2.91,11,-0.08,0.68,0.16,10.57
2018-05-12T00:00:00-07:00,00:05:00,101179,74.8,5,0.55,11,-0.14,0.56,0.05,3.48
2018-05-12T00:00:00-07:00,00:05:00,101178,63.4,10,1.73,11,-0.04,0.66,0.11,6.95
2018-05-12T00:00:00-07:00,00:05:00,101177,64.2,15,3.18,11,-0.05,0.65,0.16,10.43
2018-05-12T00:00:00-07:00,00:05:00,101176,81.25,4,0.27,11,-0.29,0.83,0.06,4.48
2018-05-12T00:00:00-07:00,00:05:00,101175,70.2,15,1.64,11,-0.16,0.96,0.24,16.8
2018-05-12T00:00:00-07:00,00:05:00,101174,63.14,7,0.82,11,-0.06,1.06,0.12,7.84
2018-05-12T00:00:00-07:00,00:05:00,101173,75.0,5,0.18,11,-0.16,0.63,0.05,3.93
2018-05-12T00:00:00-07:00,00:05:00,101172,63.26,27,3.27,11,-0.04,0.74,0.34,21.2
2018-05-12T00:00:00-07:00,00:05:00,101171,62.4,15,1.73,11,-0.03,0.75,0.19,11.78
2018-05-12T00:00:00-07:00,00:05:00,101170,76.57,7,0.45,11,-0.23,0.83,0.1,7.42
2018-05-12T00:00:00-07:00,00:05:00,101169,64.92,26,2.55,11,-0.08,0.98,0.42,27.56
2018-05-12T00:00:00-07:00,00:05:00,101168,64.33,15,1.82,11,-0.07,0.99,0.25,15.9
2018-05-12T00:00:00-07:00,00:05:00,101167,72.0,10,0.82,11,-0.4,1.99,0.33,23.85
2018-05-12T00:00:00-07:00,00:05:00,101166,61.93,28,3.64,11,-0.07,2.31,1.08,66.78
