starttime,milepost,speed
00:00:00,0.45,49.51
00:00:00,1.21,57.43
00:00:00,1.82,58.60
00:00:00,2.1,60.82
00:00:00,2.4,60.13
00:00:00,3.36,60.93
00:00:00,3.43,57.54
00:00:00,4.25,61.32
00:00:00,4.9,61.84
00:00:00,5.03,59.73
00:00:00,5.7,53.28
00:00:00,5.82,72.50
00:00:00,6.7,56.77
00:00:00,10.04,60.70
00:00:00,11.47,64.83
00:00:00,12.16,61.43
00:00:00,13.04,63.98
00:00:00,14.4,66.65
00:00:00,15.17,60.08
00:00:00,15.94,63.40
00:00:00,16.9,56.09
00:05:00,0.45,49.52
00:05:00,1.21,57.81
00:05:00,1.82,58.74
00:05:00,2.1,61.11
00:05:00,2.4,60.94
00:05:00,3.36,61.05
00:05:00,3.43,57.31
00:05:00,4.25,61.58
00:05:00,4.9,62.25
00:05:00,5.03,59.98
00:05:00,5.7,52.96
00:05:00,5.82,66.65
00:05:00,6.7,55.62
00:05:00,10.04,60.48
00:05:00,11.47,64.82
00:05:00,12.16,61.78
00:05:00,13.04,64.81
00:05:00,14.4,66.66
00:05:00,15.17,61.51
00:05:00,15.94,64.42
00:05:00,16.9,57.41
00:10:00,0.45,49.86
00:10:00,1.21,58.04
00:10:00,1.82,58.88
00:10:00,2.1,60.51
00:10:00,2.4,60.46
00:10:00,3.36,61.31
00:10:00,3.43,57.91
00:10:00,4.25,61.53
00:10:00,4.9,62.24
00:10:00,5.03,59.92
00:10:00,5.7,52.10
00:10:00,5.82,66.47
00:10:00,6.7,55.91
00:10:00,10.04,60.81
00:10:00,11.47,64.28
00:10:00,12.16,61.57
00:10:00,13.04,64.66
00:10:00,14.4,66.51
00:10:00,15.17,60.52
00:10:00,15.94,63.91
00:10:00,16.9,57.38
00:15:00,0.45,49.89
00:15:00,1.21,57.92
00:15:00,1.82,58.87
00:15:00,2.1,61.36
00:15:00,2.4,59.67
00:15:00,3.36,60.99
00:15:00,3.43,57.31
00:15:00,4.25,61.35
00:15:00,4.9,61.64
00:15:00,5.03,59.73
00:15:00,5.7,51.96
00:15:00,5.82,67.14
00:15:00,6.7,55.92
00:15:00,10.04,60.45
00:15:00,11.47,64.70
00:15:00,12.16,61.75
00:15:00,13.04,64.89
00:15:00,14.4,67.31
00:15:00,15.17,60.78
00:15:00,15.94,63.81
00:15:00,16.9,54.95
00:20:00,0.45,49.88
00:20:00,1.21,58.06
00:20:00,1.82,58.86
00:20:00,2.1,61.63
00:20:00,2.4,60.39
00:20:00,3.36,61.14
00:20:00,3.43,57.69
00:20:00,4.25,61.50
00:20:00,4.9,62.13
00:20:00,5.03,59.93
00:20:00,5.7,52.51
00:20:00,5.82,67.00
00:20:00,6.7,55.68
00:20:00,10.04,60.55
00:20:00,11.47,64.56
00:20:00,12.16,61.43
00:20:00,13.04,64.39
00:20:00,14.4,67.29
00:20:00,15.17,61.16
00:20:00,15.94,64.19
00:20:00,16.9,56.10
00:25:00,0.45,49.92
00:25:00,1.21,57.67
00:25:00,1.82,58.82
00:25:00,2.1,61.89
00:25:00,2.4,59.98
00:25:00,3.36,61.17
00:25:00,3.43,57.37
00:25:00,4.25,61.57
00:25:00,4.9,62.13
00:25:00,5.03,60.24
00:25:00,5.7,53.16
