starttime,milepost,speed
00:00:00,0.45,50.86
00:00:00,1.21,58.23
00:00:00,1.82,59.03
00:00:00,2.1,58.21
00:00:00,2.4,62.25
00:00:00,3.36,61.11
00:00:00,3.43,55.61
00:00:00,4.25,61.34
00:00:00,4.9,58.85
00:00:00,5.03,59.73
00:00:00,5.7,53.13
00:00:00,5.82,61.68
00:00:00,6.7,56.85
00:00:00,10.04,60.91
00:00:00,11.47,64.56
00:00:00,12.16,61.53
00:00:00,13.04,64.52
00:00:00,14.4,66.91
00:00:00,15.17,61.84
00:00:00,15.94,64.14
00:00:00,16.9,59.42
00:05:00,0.45,51.21
00:05:00,1.21,58.23
00:05:00,1.82,59.29
00:05:00,2.1,58.45
00:05:00,2.4,62.31
00:05:00,3.36,61.37
00:05:00,3.43,55.78
00:05:00,4.25,61.42
00:05:00,4.9,58.71
00:05:00,5.03,59.35
00:05:00,5.7,52.97
00:05:00,5.82,60.36
00:05:00,6.7,56.14
00:05:00,10.04,60.71
00:05:00,11.47,64.49
00:05:00,12.16,61.71
00:05:00,13.04,64.25
00:05:00,14.4,66.86
00:05:00,15.17,62.03
00:05:00,15.94,64.42
00:05:00,16.9,59.50
00:10:00,0.45,51.22
00:10:00,1.21,58.27
00:10:00,1.82,59.06
00:10:00,2.1,58.70
00:10:00,2.4,61.91
00:10:00,3.36,61.16
00:10:00,3.43,55.94
00:10:00,4.25,61.43
00:10:00,4.9,58.85
00:10:00,5.03,59.35
00:10:00,5.7,52.81
00:10:00,5.82,62.46
00:10:00,6.7,56.06
00:10:00,10.04,60.93
00:10:00,11.47,64.75
00:10:00,12.16,61.49
00:10:00,13.04,64.28
00:10:00,14.4,66.92
00:10:00,15.17,61.94
00:10:00,15.94,64.63
00:10:00,16.9,59.99
00:15:00,0.45,50.82
00:15:00,1.21,57.97
00:15:00,1.82,58.91
00:15:00,2.1,58.42
00:15:00,2.4,62.34
00:15:00,3.36,61.06
00:15:00,3.43,55.59
00:15:00,4.25,61.22
00:15:00,4.9,59.22
00:15:00,5.03,59.31
00:15:00,5.7,53.01
00:15:00,5.82,64.14
00:15:00,6.7,56.50
00:15:00,10.04,60.87
00:15:00,11.47,64.53
00:15:00,12.16,61.74
00:15:00,13.04,64.32
00:15:00,14.4,67.49
00:15:00,15.17,61.52
00:15:00,15.94,64.20
00:15:00,16.9,58.99
00:20:00,0.45,51.59
00:20:00,1.21,57.92
00:20:00,1.82,59.11
00:20:00,2.1,58.45
00:20:00,2.4,61.62
00:20:00,3.36,61.20
00:20:00,3.43,55.40
00:20:00,4.25,61.39
00:20:00,4.9,59.17
00:20:00,5.03,59.50
00:20:00,5.7,52.58
00:20:00,5.82,66.14
00:20:00,6.7,57.00
00:20:00,10.04,60.89
00:20:00,11.47,64.44
00:20:00,12.16,61.44
00:20:00,13.04,63.81
00:20:00,14.4,66.57
00:20:00,15.17,61.34
00:20:00,15.94,63.82
00:20:00,16.9,59.76
00:25:00,0.45,50.87
00:25:00,1.21,57.53
00:25:00,1.82,59.04
00:25:00,2.1,58.49
00:25:00,2.4,61.61
00:25:00,3.36,61.42
00:25:00,3.43,55.60
00:25:00,4.25,61.36
00:25:00,4.9,58.96
00:25:00,5.03,59.24
00:25:00,5.7,52.85
00:25:00,5.82,64.59
00:25:00,6.7,56.52
00:25:00,10.04,60.45
00:25:00,11.47,63.63
00:25:00,12.16,61.01
00:25:00,13.04,63.83
00:25:00,14.4,66.32
00:25:00,15.17,61.42
00:25:00,15.94,64.00
00:25:00,16.9,59.32
00:30:00,0.45,51.06
00:30:00,1.21,58.16
00:30:00,1.82,59.20
00:30:00,2.1,58.23
00:30:00,2.4,62.47
00:30:00,3.36,61.70
00:30:00,3.43,56.07
00:30:00,4.25,61.76
00:30:00,4.9,58.99
00:30:00,5.03,59.00
00:30:00,5.7,52.93
00:30:00,5.82,62.35
00:30:00,6.7,56.50
00:30:00,10.04,60.67
00:30:00,11.47,64.05
00:30:00,12.16,61.04
00:30:00,13.04,63.55
00:30:00,14.4,66.81
00:30:00,15.17,61.37
00:30:00,15.94,63.85
00:30:00,16.9,59.72
00:35:00,0.45,51.37
00:35:00,1.21,58.68
00:35:00,1.82,59.45
00:35:00,2.1,58.22
00:35:00,2.4,61.58
00:35:00,3.36,61.46
00:35:00,3.43,55.74
00:35:00,4.25,61.64
00:35:00,4.9,59.12
00:35:00,5.03,59.61
00:35:00,5.7,52.72
00:35:00,5.82,61.66
00:35:00,6.7,56.74
00:35:00,10.04,60.44
00:35:00,11.47,64.02
00:35:00,12.16,60.79
00:35:00,13.04,64.05
00:35:00,14.4,65.98
00:35:00,15.17,61.24
00:35:00,15.94,63.45
00:35:00,16.9,59.53
00:40:00,0.45,51.46
00:40:00,1.21,58.57
00:40:00,1.82,59.51
00:40:00,2.1,58.56
00:40:00,2.4,61.97
00:40:00,3.36,61.34
00:40:00,3.43,55.22
00:40:00,4.25,61.96
00:40:00,4.9,59.42
00:40:00,5.03,58.94
00:40:00,5.7,53.26
00:40:00,5.82,62.78
00:40:00,6.7,56.41
00:40:00,10.04,60.52
00:40:00,11.47,64.41
00:40:00,12.16,61.72
00:40:00,13.04,63.56
00:40:00,14.4,66.37
00:40:00,15.17,61.74
00:40:00,15.94,63.57
00:40:00,16.9,59.20
00:45:00,0.45,51.75
00:45:00,1.21,58.35
00:45:00,1.82,59.10
00:45:00,2.1,58.31
00:45:00,2.4,62.16
00:45:00,3.36,61.54
00:45:00,3.43,55.48
00:45:00,4.25,61.86
00:45:00,4.9,58.99
00:45:00,5.03,59.00
00:45:00,5.7,52.73
00:45:00,5.82,60.38
00:45:00,6.7,56.43
00:45:00,10.04,60.87
00:45:00,11.47,64.42
00:45:00,12.16,61.40
00:45:00,13.04,63.74
00:45:00,14.4,67.18
00:45:00,15.17,61.42
00:45:00,15.94,63.27
00:45:00,16.9,58.36
00:50:00,0.45,51.22
00:50:00,1.21,58.53
00:50:00,1.82,59.33
00:50:00,2.1,58.20
00:50:00,2.4,61.79
00:50:00,3.36,61.67
00:50:00,3.43,56.54
00:50:00,4.25,61.95
00:50:00,4.9,59.39
00:50:00,5.03,59.39
00:50:00,5.7,53.24
00:50:00,5.82,63.98
00:50:00,6.7,57.15
00:50:00,10.04,61.17
00:50:00,11.47,64.24
00:50:00,12.16,61.36
00:50:00,13.04,64.05
00:50:00,14.4,66.99
00:50:00,15.17,61.66
00:50:00,15.94,63.35
00:50:00,16.9,58.79
00:55:00,0.45,51.28
00:55:00,1.21,58.29
00:55:00,1.82,58.82
00:55:00,2.1,58.95
00:55:00,2.4,61.83
00:55:00,3.36,61.65
00:55:00,3.43,56.38
00:55:00,4.25,61.50
00:55:00,4.9,58.90
00:55:00,5.03,59.22
00:55:00,5.7,53.26
00:55:00,5.82,60.28
00:55:00,6.7,56.39
00:55:00,10.04,60.46
00:55:00,11.47,64.20
00:55:00,12.16,61.36
00:55:00,13.04,63.93
00:55:00,14.4,66.69
00:55:00,15.17,61.21
00:55:00,15.94,63.59
00:55:00,16.9,59.37
01:00:00,0.45,51.39
01:00:00,1.21,58.50
01:00:00,1.82,59.12
