starttime,resolution,detector_id,speed,volume,occupancy,countreadings,delay,traveltime,vht,vmt
2018-05-19T00:00:00-07:00,00:05:00,101187,67.0,5,0.53,15,-0.1,0.88,0.07,4.9
2018-05-19T00:00:00-07:00,00:05:00,101186,59.0,14,2.4,15,0.02,1.0,0.23,13.72
2018-05-19T00:00:00-07:00,00:05:00,101185,72.5,2,0.13,15,-0.15,0.72,0.02,1.73
2018-05-19T00:00:00-07:00,00:05:00,101184,66.67,24,2.87,15,-0.09,0.78,0.31,20.76
2018-05-19T00:00:00-07:00,00:05:00,101183,64.14,7,0.73,15,-0.06,0.81,0.09,6.06
2018-05-19T00:00:00-07:00,00:05:00,101182,74.4,5,0.33,15,-0.15,0.61,0.05,3.78
2018-05-19T00:00:00-07:00,00:05:00,101181,66.58,19,1.73,15,-0.07,0.68,0.22,14.35
2018-05-19T00:00:00-07:00,00:05:00,101180,62.81,16,1.33,15,-0.03,0.72,0.19,12.08
2018-05-19T00:00:00-07:00,00:05:00,101179,70.0,5,0.33,15,-0.1,0.6,0.05,3.48
2018-05-19T00:00:00-07:00,00:05:00,101178,70.81,21,1.93,15,-0.11,0.59,0.21,14.6
2018-05-19T00:00:00-07:00,00:05:00,101177,64.53,19,2.47,15,-0.05,0.65,0.2,13.21
2018-05-19T00:00:00-07:00,00:05:00,101176,75.55,11,0.67,15,-0.23,0.89,0.16,12.32
2018-05-19T00:00:00-07:00,00:05:00,101175,65.85,27,2.27,15,-0.1,1.02,0.46,30.24
2018-05-19T00:00:00-07:00,00:05:00,100903,56.62,21,1.67,15,1.92,34.12,11.94,676.2
2018-05-19T00:00:00-07:00,00:05:00,100902,64.61,36,2.53,15,-0.03,0.36,0.22,14.04
2018-05-19T00:00:00-07:00,00:05:00,100901,58.44,70,6.0,15,0.01,0.4,0.47,27.3
2018-05-19T00:00:00-07:00,00:05:00,100900,58.4,40,2.8,15,0.01,0.4,0.27,15.6
2018-05-19T00:00:00-07:00,00:05:00,100899,62.66,47,3.27,15,-0.02,0.43,0.33,20.92
2018-05-19T00:00:00-07:00,00:05:00,100898,57.71,68,5.87,15,0.02,0.46,0.52,30.26
2018-05-19T00:00:00-07:00,00:05:00,100897,59.56,45,3.33,15,0.0,0.45,0.34,20.03
2018-05-19T00:00:00-07:00,00:05:00,100896,59.21,53,3.4,15,0.01,0.64,0.56,33.39
2018-05-19T00:00:00-07:00,00:05:00,100895,46.3,69,12.8,15,0.19,0.82,0.94,43.47
2018-05-19T00:00:00-07:00,00:05:00,100894,71.41,44,5.47,15,-0.1,0.53,0.39,27.72
2018-05-19T00:00:00-07:00,00:05:00,100893,62.84,56,3.33,15,-0.01,0.28,0.26,16.24
2018-05-19T00:00:00-07:00,00:05:00,100892,61.84,68,5.4,15,-0.01,0.28,0.32,19.72
2018-05-19T00:00:00-07:00,00:05:00,100891,57.02,48,3.87,15,0.02,0.31,0.24,13.92
2018-05-19T00:00:00-07:00,00:05:00,100890,47.91,11,0.6,15,0.07,0.36,0.07,3.19
2018-05-19T00:00:00-07:00,00:05:00,101174,63.92,12,0.73,15,-0.07,1.05,0.21,13.44
2018-05-19T00:00:00-07:00,00:05:00,101173,70.13,15,1.0,15,-0.11,0.67,0.17,11.78
2018-05-19T00:00:00-07:00,00:05:00,101172,62.63,32,2.73,15,-0.03,0.75,0.4,25.12
2018-05-19T00:00:00-07:00,00:05:00,101171,61.63,24,1.93,15,-0.02,0.76,0.31,18.84
2018-05-19T00:00:00-07:00,00:05:00,101170,73.5,12,0.67,15,-0.19,0.87,0.17,12.72
2018-05-19T00:00:00-07:00,00:05:00,101169,66.77,35,3.4,15,-0.11,0.95,0.56,37.1
2018-05-19T00:00:00-07:00,00:05:00,101168,63.52,25,2.13,15,-0.06,1.0,0.42,26.5
2018-05-19T00:00:00-07:00,00:05:00,101167,65.53,19,1.4,15,-0.2,2.18,0.69,45.32
2018-05-19T00:00:00-07:00,00:05:00,101166,60.91,35,3.47,15,-0.04,2.35,1.37,83.48
2018-05-19T00:00:00-07:00,00:05:00,101165,61.24,21,2.07,15,-0.05,2.34,0.82,50.09
2018-05-19T00:00:00-07:00,00:05:00,101164,61.1,10,0.87,15,-0.04,2.07,0.35,21.1
2018-05-19T00:00:00-07:00,00:05:00,101163,60.09,11,0.93,15,0.0,2.11,0.39,23.21
2018-05-19T00:00:00-07:00,00:05:00,101162,52.0,7,0.53,15,0.32,2.43,0.28,14.77
2018-05-19T00:00:00-07:00,00:05:00,101161,65.67,9,0.6,15,-0.07,0.76,0.11,7.52
2018-05-19T00:00:00-07:00,00:05:00,101160,63.43,21,2.4,15,-0.05,0.79,0.28,17.54
2018-05-19T00:00:00-07:00,00:05:00,101158,63.05,38,3.0,15,-0.02,0.44,0.28,17.48
2018-05-19T00:00:00-07:00,00:05:00,101157,57.38,76,6.47,15,0.02,0.48,0.61,34.96
2018-05-19T00:00:00-07:00,00:05:00,101156,60.03,36,2.93,15,0.0,0.46,0.28,16.56
2018-05-19T00:00:00-07:00,00:05:00,101155,66.46,37,2.8,15,-0.07,0.66,0.41,27.2
2018-05-19T00:00:00-07:00,00:05:00,101154,60.61,74,6.4,15,-0.01,0.73,0.9,54.39
2018-05-19T00:00:00-07:00,00:05:00,101153,63.0,43,3.87,15,-0.03,0.7,0.5,31.61
2018-05-19T00:00:00-07:00,00:05:00,101152,64.75,53,3.47,15,-0.04,0.48,0.42,27.3
2018-05-19T00:00:00-07:00,00:05:00,101151,59.92,65,5.13,15,0.0,0.52,0.56,33.48
2018-05-19T00:00:00-07:00,00:05:00,101150,59.38,53,3.93,15,0.01,0.52,0.46,27.3
2018-05-19T00:00:00-07:00,00:05:00,101145,63.48,52,4.33,15,-0.02,0.42,0.36,23.14
2018-05-19T00:00:00-07:00,00:05:00,101144,58.59,74,6.4,15,0.01,0.46,0.56,32.93
2018-05-19T00:00:00-07:00,00:05:00,101143,60.19,48,4.2,15,0.0,0.44,0.35,21.36
2018-05-19T00:00:00-07:00,00:05:00,101142,62.69,42,2.67,15,-0.03,0.66,0.46,28.77
2018-05-19T00:00:00-07:00,00:05:00,101141,59.84,73,5.67,15,0.0,0.69,0.84,50.01
2018-05-19T00:00:00-07:00,00:05:00,101140,56.85,33,2.47,15,0.04,0.72,0.4,22.61
2018-05-19T00:00:00-07:00,00:05:00,101139,60.32,100,9.33,15,0.0,0.83,1.38,83.0
2018-05-19T00:00:00-07:00,00:05:00,101138,55.5,80,7.2,15,0.07,0.9,1.2,66.4
2018-05-19T00:00:00-07:00,00:05:00,101137,53.98,47,4.2,15,0.09,0.92,0.72,39.01
2018-05-19T00:05:00-07:00,00:05:00,101187,70.0,1,0.13,8,-0.14,0.84,0.01,0.98
2018-05-19T00:05:00-07:00,00:05:00,101186,58.67,3,0.75,8,0.02,1.0,0.05,2.94
2018-05-19T00:05:00-07:00,00:05:00,101185,69.0,2,0.25,8,-0.11,0.75,0.03,1.73
2018-05-19T00:05:00-07:00,00:05:00,101184,64.33,6,1.38,8,-0.06,0.81,0.08,5.19
2018-05-19T00:05:00-07:00,00:05:00,101183,64.5,2,0.25,8,-0.06,0.8,0.03,1.73
2018-05-19T00:05:00-07:00,00:05:00,101182,68.0,2,0.25,8,-0.09,0.67,0.02,1.51
2018-05-19T00:05:00-07:00,00:05:00,101181,61.5,10,2.25,8,-0.02,0.74,0.12,7.55
2018-05-19T00:05:00-07:00,00:05:00,101180,62.7,10,2.0,8,-0.03,0.72,0.12,7.55
2018-05-19T00:05:00-07:00,00:05:00,101179,65.0,2,0.38,8,-0.05,0.64,0.02,1.39
2018-05-19T00:05:00-07:00,00:05:00,101178,66.7,10,2.63,8,-0.07,0.63,0.1,6.95
2018-05-19T00:05:00-07:00,00:05:00,101177,63.88,8,2.0,8,-0.04,0.65,0.09,5.56
2018-05-19T00:05:00-07:00,00:05:00,101176,66.67,3,0.25,8,-0.11,1.01,0.05,3.36
2018-05-19T00:05:00-07:00,00:05:00,101175,64.4,10,1.5,8,-0.08,1.04,0.17,11.2
2018-05-19T00:05:00-07:00,00:05:00,101174,66.29,7,1.38,8,-0.11,1.01,0.12,7.84
2018-05-19T00:05:00-07:00,00:05:00,101173,71.25,4,0.5,8,-0.12,0.66,0.04,3.14
2018-05-19T00:05:00-07:00,00:05:00,101172,64.63,16,2.5,8,-0.06,0.73,0.19,12.56
2018-05-19T00:05:00-07:00,00:05:00,101171,62.0,13,2.63,8,-0.03,0.76,0.16,10.21
2018-05-19T00:05:00-07:00,00:05:00,101170,77.33,3,0.25,8,-0.24,0.82,0.04,3.18
2018-05-19T00:05:00-07:00,00:05:00,101169,67.88,16,2.38,8,-0.12,0.94,0.25,16.96
2018-05-19T00:05:00-07:00,00:05:00,101168,64.08,12,1.5,8,-0.07,0.99,0.2,12.72
2018-05-19T00:05:00-07:00,00:05:00,101167,70.78,9,1.0,8,-0.36,2.02,0.3,21.47
2018-05-19T00:05:00-07:00,00:05:00,101166,60.38,16,2.5,8,-0.02,2.37,0.63,38.16
2018-05-19T00:05:00-07:00,00:05:00,101165,65.18,11,1.38,8,-0.19,2.2,0.4,26.24
2018-05-19T00:05:00-07:00,00:05:00,101164,64.6,5,0.5,8,-0.15,1.96,0.16,10.55
2018-05-19T00:05:00-07:00,00:05:00,101163,58.5,8,1.13,8,0.05,2.16,0.29,16.88
2018-05-19T00:05:00-07:00,00:05:00,101162,50.0,2,0.25,8,0.42,2.53,0.08,4.22
2018-05-19T00:05:00-07:00,00:05:00,101161,74.0,4,0.5,8,-0.16,0.68,0.05,3.34
2018-05-19T00:05:00-07:00,00:05:00,101160,68.0,10,1.38,8,-0.1,0.74,0.12,8.35
2018-05-19T00:05:00-07:00,00:05:00,101158,65.89,18,2.13,8,-0.04,0.42,0.13,8.28
