starttime,milepost,speed
00:00:00,0.45,54.15
00:00:00,1.21,57.65
00:00:00,1.82,59.29
00:00:00,2.1,56.80
00:00:00,2.4,54.56
00:00:00,3.36,62.12
00:00:00,3.43,58.59
00:00:00,4.25,63.17
00:00:00,4.9,61.37
00:00:00,5.03,59.83
00:00:00,5.7,51.86
00:00:00,5.82,66.02
00:00:00,6.7,58.39
00:00:00,10.04,63.18
00:00:00,11.47,67.64
00:00:00,12.16,63.62
00:00:00,13.04,66.65
00:00:00,14.4,67.73
00:00:00,15.17,65.00
00:00:00,15.94,66.72
00:00:00,16.9,63.84
00:05:00,0.45,54.94
00:05:00,1.21,57.53
00:05:00,1.82,58.97
00:05:00,2.1,56.25
00:05:00,2.4,55.14
00:05:00,3.36,62.15
00:05:00,3.43,58.74
00:05:00,4.25,63.18
00:05:00,4.9,61.95
00:05:00,5.03,60.39
00:05:00,5.7,52.07
00:05:00,5.82,66.44
00:05:00,6.7,58.25
00:05:00,10.04,62.98
00:05:00,11.47,67.51
00:05:00,12.16,63.48
00:05:00,13.04,66.04
00:05:00,14.4,67.65
00:05:00,15.17,64.84
00:05:00,15.94,66.72
00:05:00,16.9,63.38
00:10:00,0.45,54.54
00:10:00,1.21,57.79
00:10:00,1.82,59.32
00:10:00,2.1,56.81
00:10:00,2.4,55.67
00:10:00,3.36,62.22
00:10:00,3.43,58.30
00:10:00,4.25,62.89
00:10:00,4.9,61.64
00:10:00,5.03,60.43
00:10:00,5.7,51.79
00:10:00,5.82,66.34
00:10:00,6.7,58.07
00:10:00,10.04,62.70
00:10:00,11.47,67.12
00:10:00,12.16,63.00
00:10:00,13.04,66.68
00:10:00,14.4,68.42
00:10:00,15.17,65.40
00:10:00,15.94,67.38
00:10:00,16.9,63.00
00:15:00,0.45,55.16
00:15:00,1.21,57.68
00:15:00,1.82,59.62
00:15:00,2.1,56.84
00:15:00,2.4,55.94
00:15:00,3.36,62.29
00:15:00,3.43,58.72
00:15:00,4.25,62.97
00:15:00,4.9,61.54
00:15:00,5.03,60.56
00:15:00,5.7,52.02
00:15:00,5.82,65.73
00:15:00,6.7,58.17
00:15:00,10.04,63.14
00:15:00,11.47,67.45
00:15:00,12.16,63.72
00:15:00,13.04,66.78
00:15:00,14.4,67.92
00:15:00,15.17,65.37
00:15:00,15.94,66.99
00:15:00,16.9,62.98
00:20:00,0.45,54.22
00:20:00,1.21,57.76
00:20:00,1.82,59.49
00:20:00,2.1,56.42
00:20:00,2.4,54.45
00:20:00,3.36,62.32
00:20:00,3.43,58.40
00:20:00,4.25,62.78
00:20:00,4.9,61.31
00:20:00,5.03,60.67
00:20:00,5.7,51.98
00:20:00,5.82,65.80
00:20:00,6.7,58.16
00:20:00,10.04,63.06
00:20:00,11.47,67.45
00:20:00,12.16,64.22
00:20:00,13.04,66.81
00:20:00,14.4,67.63
00:20:00,15.17,64.56
00:20:00,15.94,66.30
00:20:00,16.9,62.94
00:25:00,0.45,54.55
00:25:00,1.21,57.83
00:25:00,1.82,59.48
00:25:00,2.1,57.49
00:25:00,2.4,55.31
00:25:00,3.36,62.27
00:25:00,3.43,58.32
00:25:00,4.25,63.20
00:25:00,4.9,61.72
00:25:00,5.03,61.04
00:25:00,5.7,52.41
00:25:00,5.82,66.09
00:25:00,6.7,57.87
00:25:00,10.04,62.91
00:25:00,11.47,67.93
00:25:00,12.16,63.38
00:25:00,13.04,66.47
00:25:00,14.4,67.23
00:25:00,15.17,65.53
00:25:00,15.94,67.31
00:25:00,16.9,63.73
00:30:00,0.45,54.68
00:30:00,1.21,57.90
00:30:00,1.82,59.34
00:30:00,2.1,56.58
00:30:00,2.4,55.05
00:30:00,3.36,61.93
00:30:00,3.43,57.95
00:30:00,4.25,62.77
00:30:00,4.9,61.49
